"_created_at",_id,_p_user,_updated_at,canal,count
2017-08-25T13:06:12.083Z,fZBUEfbF2e,_User$gJxyqsWxvZ,2017-08-25T13:06:12.083Z,ZBCX6zNraw,0
2017-08-25T13:06:12.083Z,3tLo9mbrA0,_User$vU3S0Jptpt,2017-08-25T13:06:12.083Z,ZBCX6zNraw,0
2017-08-25T13:07:43.388Z,uZ5CMd9DOn,_User$gJxyqsWxvZ,2017-08-25T13:07:43.388Z,ZBCX6zNraw,0
2017-08-25T13:07:43.542Z,JBgeyXsoAc,_User$vU3S0Jptpt,2017-08-25T13:07:43.542Z,ZBCX6zNraw,0
2017-08-25T13:55:35.375Z,p8gRx2guc8,_User$gJxyqsWxvZ,2017-08-25T13:55:35.375Z,ZBCX6zNraw,0
2017-08-25T13:55:35.675Z,rN2nHE6vPh,_User$vU3S0Jptpt,2017-08-25T13:55:35.675Z,ZBCX6zNraw,0
2017-08-25T14:20:25.172Z,9OJ1DYnUB2,_User$XMRH2sKRXU,2017-08-25T14:20:25.172Z,rHnQeRmbYD,0
2017-08-25T14:20:25.436Z,AsZcxFxiBX,_User$TN499QzJcK,2017-08-25T14:20:25.436Z,rHnQeRmbYD,0
2017-08-25T14:20:25.838Z,kUELz1Fipk,_User$XMRH2sKRXU,2017-08-25T14:20:25.838Z,rHnQeRmbYD,0
2017-08-25T14:20:25.844Z,eguiaa6GY4,_User$TN499QzJcK,2017-08-25T14:20:25.844Z,rHnQeRmbYD,0
2017-08-25T14:31:30.158Z,dX0T7jtiWk,_User$XMRH2sKRXU,2017-08-25T14:31:30.158Z,rHnQeRmbYD,0
2017-08-25T14:31:30.314Z,KBKPDxrPv7,_User$TN499QzJcK,2017-08-25T14:31:30.314Z,rHnQeRmbYD,0
2017-08-28T13:57:34.195Z,HH8WssgtSw,_User$23UdUpSGtQ,2017-09-28T17:43:09.492Z,IwNZEFaVFt,5
2017-08-28T13:57:34.424Z,PBRba34JBV,_User$KxMEtZMsuB,2017-09-28T17:43:10.046Z,IwNZEFaVFt,5
2017-08-28T13:58:35.944Z,i0X68Uw2wA,_User$23UdUpSGtQ,2017-09-28T17:43:09.710Z,IwNZEFaVFt,5
2017-08-28T13:58:36.174Z,zWXXtia7VP,_User$KxMEtZMsuB,2017-09-28T17:43:10.030Z,IwNZEFaVFt,5
2017-08-28T20:23:29.380Z,r4f6Zm7p9U,_User$kWGttyH6Yh,2017-09-18T18:51:13.168Z,gwYDWEPMZI,3
